v1,v2,edge_name,edge_color
BATAN,LAGO,10,#005AA9
BATAN,CASA DE CAMPO,10,#005AA9
SAN CIPRIANO,VICALVARO,9,#A60084
SAN CIPRIANO,PUERTA DE ARGANDA,9,#A60084
CALLAO,SOL,3,#FFD000
CALLAO,PLAZA DE ESPAÑA,3,#FFD000
CALLAO,GRAN VIA,5,#8FD400
CALLAO,OPERA,5,#8FD400
LAS TABLAS,RONDA DE LA COMUNICACION,10,#005AA9
LAS TABLAS,MONTECARMELO,10,#005AA9
SANTIAGO BERNABEU,CUZCO,10,#005AA9
SANTIAGO BERNABEU,NUEVOS MINISTERIOS,10,#005AA9
ARROYO CULEBRO,CONSERVATORIO,12,#A49800
ARROYO CULEBRO,PARQUE DE LOS ESTADOS,12,#A49800
CANAL,QUEVEDO,2,#ED1C24
CANAL,CUATRO CAMINOS,2,#ED1C24
CANAL,ALONSO CANO,7,#EE7518
CANAL,ISLAS FILIPINAS,7,#EE7518
PUERTA DEL SUR,PARQUE LISBOA,12,#A49800
PUERTA DEL SUR,SAN NICASIO,12,#A49800
PUERTA DEL SUR,JOAQUIN VILUMBRALES,10,#005AA9
ALAMEDA DE OSUNA,EL CAPRICHO,5,#8FD400
LAGO,PRINCIPE PIO,10,#005AA9
LAGO,BATAN,10,#005AA9
REYES CATOLICOS,HOSPITAL INFANTA SOFÍA,10,#005AA9
REYES CATOLICOS,BAUNATAL,10,#005AA9
MANUEL DE FALLA,BAUNATAL,10,#005AA9
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,10,#005AA9
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,6,#98989B
ALTO DE EXTREMADURA,LUCERO,6,#98989B
ALONSO MARTINEZ,BILBAO,4,#B65518
ALONSO MARTINEZ,COLON,4,#B65518
ALONSO MARTINEZ,RUBEN DARIO,5,#8FD400
ALONSO MARTINEZ,CHUECA,5,#8FD400
ALONSO MARTINEZ,GREGORIO MARAÑON,10,#005AA9
ALONSO MARTINEZ,TRIBUNAL,10,#005AA9
GETAFE CENTRAL,JUAN DE LA CIERVA,12,#A49800
GETAFE CENTRAL,ALONSO DE MENDOZA,12,#A49800
CIUDAD UNIVERSITARIA,METROPOLITANO,6,#98989B
CIUDAD UNIVERSITARIA,MONCLOA,6,#98989B
ALUCHE,EUGENIA DE MONTIJO,5,#8FD400
ALUCHE,EMPALME,5,#8FD400
SAN FRANCISCO,PAN BENDITO,11,#009B3A
SAN FRANCISCO,CARABANCHEL ALTO,11,#009B3A
AVENIDA DE GUADALAJARA,LAS ROSAS,2,#ED1C24
AVENIDA DE GUADALAJARA,ALSACIA,2,#ED1C24
CASA DE CAMPO,CAMPAMENTO,5,#8FD400
CASA DE CAMPO,BATAN,10,#005AA9
CASA DE CAMPO,COLONIA JARDIN,10,#005AA9
ASCAO,GARCIA NOBLEJAS,7,#EE7518
ASCAO,PUEBLO NUEVO,7,#EE7518
VENTURA RODRIGUEZ,PLAZA DE ESPAÑA,3,#FFD000
VENTURA RODRIGUEZ,ARGÜELLES,3,#FFD000
LOS ESPARTALES,EL BERCIAL,12,#A49800
LOS ESPARTALES,EL CASAR,12,#A49800
SANTO DOMINGO,OPERA,2,#ED1C24
SANTO DOMINGO,NOVICIADO,2,#ED1C24
NUEVA NUMANCIA,PUENTE DE VALLECAS,1,#2DBEF0
NUEVA NUMANCIA,PORTAZGO,1,#2DBEF0
PITIS,LACOMA,7,#EE7518
PUEBLO NUEVO,CIUDAD LINEAL,5,#8FD400
PUEBLO NUEVO,QUINTANA,5,#8FD400
PUEBLO NUEVO,ASCAO,7,#EE7518
PUEBLO NUEVO,BARRIO DE LA CONCEPCION,7,#EE7518
BAUNATAL,REYES CATOLICOS,10,#005AA9
BAUNATAL,MANUEL DE FALLA,10,#005AA9
LEGAZPI,ALMENDRALES,3,#FFD000
LEGAZPI,DELICIAS,3,#FFD000
LEGAZPI,USERA,6,#98989B
LEGAZPI,ARGANZUELA-PLANETARIO,6,#98989B
AEROPUERTO T1 T2 T3,CAMPO DE LAS NACIONES,8,#EC82B1
AEROPUERTO T1 T2 T3,BARAJAS,8,#EC82B1
PINAR DE CHAMARTIN,MANOTERAS,4,#B65518
PINAR DE CHAMARTIN,BAMBU,1,#2DBEF0
HORTALEZA,PARQUE DE SANTA MARIA,4,#B65518
HORTALEZA,MANOTERAS,4,#B65518
PUERTA DEL ANGEL,PRINCIPE PIO,6,#98989B
PUERTA DEL ANGEL,ALTO DE EXTREMADURA,6,#98989B
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,3,#FFD000
HOSPITAL 12 DE OCTUBRE,ALMENDRALES,3,#FFD000
NOVICIADO,SANTO DOMINGO,2,#ED1C24
NOVICIADO,SAN BERNARDO,2,#ED1C24
PARQUE DE LOS ESTADOS,ARROYO CULEBRO,12,#A49800
PARQUE DE LOS ESTADOS,FUENLABRADA CENTRAL,12,#A49800
ALVARADO,ESTRECHO,1,#2DBEF0
ALVARADO,CUATRO CAMINOS,1,#2DBEF0
RUBEN DARIO,NUÑEZ DE BALBOA,5,#8FD400
RUBEN DARIO,ALONSO MARTINEZ,5,#8FD400
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,7,#EE7518
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,7,#EE7518
VISTA ALEGRE,OPORTO,5,#8FD400
VISTA ALEGRE,CARABANCHEL,5,#8FD400
BANCO DE ESPAÑA,RETIRO,2,#ED1C24
BANCO DE ESPAÑA,SEVILLA,2,#ED1C24
CARPETANA,LAGUNA,6,#98989B
CARPETANA,OPORTO,6,#98989B
EL CARRASCAL,JULIAN BESTEIRO,12,#A49800
EL CARRASCAL,EL BERCIAL,12,#A49800
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,12,#A49800
HOSPITAL DE FUENLABRADA,LORANCA,12,#A49800
LA ALMUDENA,ALSACIA,2,#ED1C24
LA ALMUDENA,LA ELIPA,2,#ED1C24
CANILLEJAS,EL CAPRICHO,5,#8FD400
CANILLEJAS,TORRE ARIAS,5,#8FD400
ARGANZUELA-PLANETARIO,LEGAZPI,6,#98989B
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,6,#98989B
MENDEZ ALVARO,ARGANZUELA-PLANETARIO,6,#98989B
MENDEZ ALVARO,PACIFICO,6,#98989B
COLON,ALONSO MARTINEZ,4,#B65518
COLON,SERRANO,4,#B65518
AVENIDA DE AMERICA,DIEGO DE LEON,4,#B65518
AVENIDA DE AMERICA,PROSPERIDAD,4,#B65518
AVENIDA DE AMERICA,CRUZ DEL RAYO,9,#A60084
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,9,#A60084
AVENIDA DE AMERICA,CARTAGENA,7,#EE7518
AVENIDA DE AMERICA,GREGORIO MARAÑON,7,#EE7518
AVENIDA DE AMERICA,DIEGO DE LEON,6,#98989B
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,6,#98989B
DIEGO DE LEON,LISTA,4,#B65518
DIEGO DE LEON,AVENIDA DE AMERICA,4,#B65518
DIEGO DE LEON,VENTAS,5,#8FD400
DIEGO DE LEON,NUÑEZ DE BALBOA,5,#8FD400
DIEGO DE LEON,MANUEL BECERRA,6,#98989B
DIEGO DE LEON,AVENIDA DE AMERICA,6,#98989B
ESTADIO OLIMPICO,BARRIO DEL PUERTO,7,#EE7518
ESTADIO OLIMPICO,LAS MUSAS,7,#EE7518
QUINTANA,PUEBLO NUEVO,5,#8FD400
QUINTANA,EL CARMEN,5,#8FD400
PIO XII,DUQUE DE PASTRANA,9,#A60084
PIO XII,COLOMBIA,9,#A60084
CUATRO VIENTOS,AVIACION ESPAÑOLA,10,#005AA9
CUATRO VIENTOS,JOAQUIN VILUMBRALES,10,#005AA9
ATOCHA,ANTON MARTIN,1,#2DBEF0
ATOCHA,ATOCHA-RENFE,1,#2DBEF0
SAN LORENZO,MAR DE CRISTAL,4,#B65518
SAN LORENZO,PARQUE DE SANTA MARIA,4,#B65518
CAMPO DE LAS NACIONES,MAR DE CRISTAL,8,#EC82B1
CAMPO DE LAS NACIONES,AEROPUERTO T1 T2 T3,8,#EC82B1
ALFONSO XIII,PROSPERIDAD,4,#B65518
ALFONSO XIII,AVENIDA DE LA PAZ,4,#B65518
PARQUE EUROPA,FUENLABRADA CENTRAL,12,#A49800
PARQUE EUROPA,HOSPITAL DE FUENLABRADA,12,#A49800
TRES OLIVOS,MONTECARMELO,10,#005AA9
TRES OLIVOS,FUENCARRAL,10,#005AA9
SAN NICASIO,PUERTA DEL SUR,12,#A49800
SAN NICASIO,LEGANES CENTRAL,12,#A49800
MIGUEL HERNANDEZ,ALTO DEL ARENAL,1,#2DBEF0
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,1,#2DBEF0
VALDEACEDERAS,PLAZA DE CASTILLA,1,#2DBEF0
VALDEACEDERAS,TETUAN,1,#2DBEF0
FUENCARRAL,TRES OLIVOS,10,#005AA9
FUENCARRAL,BEGOÑA,10,#005AA9
CARTAGENA,PARQUE DE LAS AVENIDAS,7,#EE7518
CARTAGENA,AVENIDA DE AMERICA,7,#EE7518
MIRASIERRA,PACO DE LUCIA,9,#A60084
MIRASIERRA,HERRERA ORIA,9,#A60084
ESPERANZA,ARTURO SORIA,4,#B65518
ESPERANZA,CANILLAS,4,#B65518
RONDA DE LA COMUNICACION,LA GRANJA,10,#005AA9
RONDA DE LA COMUNICACION,LAS TABLAS,10,#005AA9
DELICIAS,LEGAZPI,3,#FFD000
DELICIAS,PALOS DE LA FRONTERA,3,#FFD000
CANILLAS,ESPERANZA,4,#B65518
CANILLAS,MAR DE CRISTAL,4,#B65518
PAVONES,ARTILLEROS,9,#A60084
PAVONES,VALDEBERNARDO,9,#A60084
ESTRELLA,SAINZ DE BARANDA,9,#A60084
ESTRELLA,VINATEROS,9,#A60084
ALCORCON CENTRAL,PARQUE LISBOA,12,#A49800
ALCORCON CENTRAL,PARQUE OESTE,12,#A49800
MAR DE CRISTAL,PINAR DEL REY,8,#EC82B1
MAR DE CRISTAL,CAMPO DE LAS NACIONES,8,#EC82B1
MAR DE CRISTAL,CANILLAS,4,#B65518
MAR DE CRISTAL,SAN LORENZO,4,#B65518
PRINCIPE PIO,OPERA,R,#FFFFFF
PRINCIPE PIO,ARGÜELLES,6,#98989B
PRINCIPE PIO,PUERTA DEL ANGEL,6,#98989B
PRINCIPE PIO,PLAZA DE ESPAÑA,10,#005AA9
PRINCIPE PIO,LAGO,10,#005AA9
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO-CRUCE,3,#FFD000
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,3,#FFD000
MANOTERAS,HORTALEZA,4,#B65518
MANOTERAS,PINAR DE CHAMARTIN,4,#B65518
PIRAMIDES,ACACIAS,5,#8FD400
PIRAMIDES,MARQUES DE VADILLO,5,#8FD400
ANTON MARTIN,TIRSO DE MOLINA,1,#2DBEF0
ANTON MARTIN,ATOCHA,1,#2DBEF0
JUAN DE LA CIERVA,EL CASAR,12,#A49800
JUAN DE LA CIERVA,GETAFE CENTRAL,12,#A49800
LA GAVIA,CONGOSTO,1,#2DBEF0
LA GAVIA,LAS SUERTES,1,#2DBEF0
LAS MUSAS,ESTADIO OLIMPICO,7,#EE7518
LAS MUSAS,SAN BLAS,7,#EE7518
BUENOS AIRES,PORTAZGO,1,#2DBEF0
BUENOS AIRES,ALTO DEL ARENAL,1,#2DBEF0
HOSPITAL DE MOSTOLES,MANUELA MALASAÑA,12,#A49800
HOSPITAL DE MOSTOLES,PRADILLO,12,#A49800
EMPALME,ALUCHE,5,#8FD400
EMPALME,CAMPAMENTO,5,#8FD400
PROSPERIDAD,AVENIDA DE AMERICA,4,#B65518
PROSPERIDAD,ALFONSO XIII,4,#B65518
LA POVEDA,RIVAS VACIAMADRID,9,#A60084
LA POVEDA,ARGANDA DEL REY,9,#A60084
SAN BLAS,LAS MUSAS,7,#EE7518
SAN BLAS,SIMANCAS,7,#EE7518
ACACIAS,PUERTA DE TOLEDO,5,#8FD400
ACACIAS,PIRAMIDES,5,#8FD400
UNIVERSIDAD REY JUAN CARLOS,MOSTOLES CENTRAL,12,#A49800
UNIVERSIDAD REY JUAN CARLOS,PARQUE OESTE,12,#A49800
NUÑEZ DE BALBOA,DIEGO DE LEON,5,#8FD400
NUÑEZ DE BALBOA,RUBEN DARIO,5,#8FD400
NUÑEZ DE BALBOA,AVENIDA DE AMERICA,9,#A60084
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,9,#A60084
TRIBUNAL,BILBAO,1,#2DBEF0
TRIBUNAL,GRAN VIA,1,#2DBEF0
TRIBUNAL,ALONSO MARTINEZ,10,#005AA9
TRIBUNAL,PLAZA DE ESPAÑA,10,#005AA9
CONGOSTO,VILLA DE VALLECAS,1,#2DBEF0
CONGOSTO,LA GAVIA,1,#2DBEF0
NUEVOS MINISTERIOS,COLOMBIA,8,#EC82B1
NUEVOS MINISTERIOS,REPUBLICA ARGENTINA,6,#98989B
NUEVOS MINISTERIOS,CUATRO CAMINOS,6,#98989B
NUEVOS MINISTERIOS,SANTIAGO BERNABEU,10,#005AA9
NUEVOS MINISTERIOS,GREGORIO MARAÑON,10,#005AA9
PORTAZGO,NUEVA NUMANCIA,1,#2DBEF0
PORTAZGO,BUENOS AIRES,1,#2DBEF0
IBIZA,PRINCIPE DE VERGARA,9,#A60084
IBIZA,SAINZ DE BARANDA,9,#A60084
ESTRECHO,TETUAN,1,#2DBEF0
ESTRECHO,ALVARADO,1,#2DBEF0
TETUAN,VALDEACEDERAS,1,#2DBEF0
TETUAN,ESTRECHO,1,#2DBEF0
LA RAMBLA,SAN FERNANDO,7,#EE7518
LA RAMBLA,COSLADA CENTRAL,7,#EE7518
MENENDEZ PELAYO,ATOCHA-RENFE,1,#2DBEF0
MENENDEZ PELAYO,PACIFICO,1,#2DBEF0
MOSTOLES CENTRAL,PRADILLO,12,#A49800
MOSTOLES CENTRAL,UNIVERSIDAD REY JUAN CARLOS,12,#A49800
CIUDAD LINEAL,SUANZES,5,#8FD400
CIUDAD LINEAL,PUEBLO NUEVO,5,#8FD400
MARQUES DE LA VALDAVIA,MANUEL DE FALLA,10,#005AA9
MARQUES DE LA VALDAVIA,LA MORALEJA,10,#005AA9
VILLAVERDE BAJO-CRUCE,SAN CRISTOBAL,3,#FFD000
VILLAVERDE BAJO-CRUCE,CIUDAD DE LOS ANGELES,3,#FFD000
PALOS DE LA FRONTERA,DELICIAS,3,#FFD000
PALOS DE LA FRONTERA,EMBAJADORES,3,#FFD000
ALSACIA,AVENIDA DE GUADALAJARA,2,#ED1C24
ALSACIA,LA ALMUDENA,2,#ED1C24
AVIACION ESPAÑOLA,COLONIA JARDIN,10,#005AA9
AVIACION ESPAÑOLA,CUATRO VIENTOS,10,#005AA9
PRINCIPE DE VERGARA,GOYA,2,#ED1C24
PRINCIPE DE VERGARA,RETIRO,2,#ED1C24
PRINCIPE DE VERGARA,NUÑEZ DE BALBOA,9,#A60084
PRINCIPE DE VERGARA,IBIZA,9,#A60084
CRUZ DEL RAYO,CONCHA ESPINA,9,#A60084
CRUZ DEL RAYO,AVENIDA DE AMERICA,9,#A60084
EUGENIA DE MONTIJO,CARABANCHEL,5,#8FD400
EUGENIA DE MONTIJO,ALUCHE,5,#8FD400
METROPOLITANO,GUZMAN EL BUENO,6,#98989B
METROPOLITANO,CIUDAD UNIVERSITARIA,6,#98989B
LEGANES CENTRAL,SAN NICASIO,12,#A49800
LEGANES CENTRAL,HOSPITAL SEVERO OCHOA,12,#A49800
URGEL,MARQUES DE VADILLO,5,#8FD400
URGEL,OPORTO,5,#8FD400
COLONIA JARDIN,CASA DE CAMPO,10,#005AA9
COLONIA JARDIN,AVIACION ESPAÑOLA,10,#005AA9
ISLAS FILIPINAS,CANAL,7,#EE7518
ISLAS FILIPINAS,GUZMAN EL BUENO,7,#EE7518
RIVAS FUTURA,RIVAS URBANIZACIONES,9,#A60084
RIVAS FUTURA,RIVAS VACIAMADRID,9,#A60084
TIRSO DE MOLINA,SOL,1,#2DBEF0
TIRSO DE MOLINA,ANTON MARTIN,1,#2DBEF0
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,3,#FFD000
ALMENDRALES,LEGAZPI,3,#FFD000
GREGORIO MARAÑON,AVENIDA DE AMERICA,7,#EE7518
GREGORIO MARAÑON,ALONSO CANO,7,#EE7518
GREGORIO MARAÑON,NUEVOS MINISTERIOS,10,#005AA9
GREGORIO MARAÑON,ALONSO MARTINEZ,10,#005AA9
BARRIO DEL PILAR,HERRERA ORIA,9,#A60084
BARRIO DEL PILAR,VENTILLA,9,#A60084
SAINZ DE BARANDA,IBIZA,9,#A60084
SAINZ DE BARANDA,ESTRELLA,9,#A60084
SAINZ DE BARANDA,CONDE DE CASAL,6,#98989B
SAINZ DE BARANDA,O'DONNELL,6,#98989B
COLOMBIA,NUEVOS MINISTERIOS,8,#EC82B1
COLOMBIA,PINAR DEL REY,8,#EC82B1
COLOMBIA,PIO XII,9,#A60084
COLOMBIA,CONCHA ESPINA,9,#A60084
CONDE DE CASAL,PACIFICO,6,#98989B
CONDE DE CASAL,SAINZ DE BARANDA,6,#98989B
OPORTO,URGEL,5,#8FD400
OPORTO,VISTA ALEGRE,5,#8FD400
OPORTO,CARPETANA,6,#98989B
OPORTO,OPAÑEL,6,#98989B
RIVAS URBANIZACIONES,PUERTA DE ARGANDA,9,#A60084
RIVAS URBANIZACIONES,RIVAS FUTURA,9,#A60084
JULIAN BESTEIRO,CASA DEL RELOJ,12,#A49800
JULIAN BESTEIRO,EL CARRASCAL,12,#A49800
GUZMAN EL BUENO,ISLAS FILIPINAS,7,#EE7518
GUZMAN EL BUENO,FRANCOS RODRIGUEZ,7,#EE7518
GUZMAN EL BUENO,CUATRO CAMINOS,6,#98989B
GUZMAN EL BUENO,METROPOLITANO,6,#98989B
VALDECARROS,LAS SUERTES,1,#2DBEF0
TORRE ARIAS,CANILLEJAS,5,#8FD400
TORRE ARIAS,SUANZES,5,#8FD400
SAN FERNANDO,JARAMA,7,#EE7518
SAN FERNANDO,LA RAMBLA,7,#EE7518
ALTO DEL ARENAL,BUENOS AIRES,1,#2DBEF0
ALTO DEL ARENAL,MIGUEL HERNANDEZ,1,#2DBEF0
CHAMARTIN,BAMBU,1,#2DBEF0
CHAMARTIN,PLAZA DE CASTILLA,1,#2DBEF0
CHAMARTIN,BEGOÑA,10,#005AA9
CHAMARTIN,PLAZA DE CASTILLA,10,#005AA9
OPERA,PRINCIPE PIO,R,#FFFFFF
OPERA,SOL,2,#ED1C24
OPERA,SANTO DOMINGO,2,#ED1C24
OPERA,CALLAO,5,#8FD400
OPERA,LA LATINA,5,#8FD400
ATOCHA-RENFE,ATOCHA,1,#2DBEF0
ATOCHA-RENFE,MENENDEZ PELAYO,1,#2DBEF0
CONSERVATORIO,ALONSO DE MENDOZA,12,#A49800
CONSERVATORIO,ARROYO CULEBRO,12,#A49800
BEGOÑA,FUENCARRAL,10,#005AA9
BEGOÑA,CHAMARTIN,10,#005AA9
PARQUE DE SANTA MARIA,SAN LORENZO,4,#B65518
PARQUE DE SANTA MARIA,HORTALEZA,4,#B65518
LA PESETA,CARABANCHEL ALTO,11,#009B3A
LA PESETA,LA FORTUNA,11,#009B3A
PACO DE LUCIA,MIRASIERRA,9,#A60084
RIOS ROSAS,CUATRO CAMINOS,1,#2DBEF0
RIOS ROSAS,IGLESIA,1,#2DBEF0
CARABANCHEL ALTO,SAN FRANCISCO,11,#009B3A
CARABANCHEL ALTO,LA PESETA,11,#009B3A
OPAÑEL,OPORTO,6,#98989B
OPAÑEL,PLAZA ELIPTICA,6,#98989B
AEROPUERTO T4,BARAJAS,8,#EC82B1
PLAZA ELIPTICA,ABRANTES,11,#009B3A
PLAZA ELIPTICA,OPAÑEL,6,#98989B
PLAZA ELIPTICA,USERA,6,#98989B
LACOMA,AVDA. DE LA ILUSTRACION,7,#EE7518
LACOMA,PITIS,7,#EE7518
